r_m,g_rr_helix,g_rr_schwarzschild,td_helix,td_schwarz,rho,lk_corr,gamma
1.22506723e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.53641668e-07,0.33158091,0.00000000
1.20557457e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.61211156e-07,0.33158091,0.00000000
1.18608190e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.69286160e-07,0.33158091,0.00000000
1.16658924e+03,1.00000000,999999.99997124,1.00000000,0.00100000,8.89547965e-08,0.99474272,0.00000000
1.14709657e+03,1.00000000,999999.99997124,1.00000000,0.00100000,9.35644083e-08,0.99474272,0.00000000
1.12760391e+03,1.00000000,999999.99997124,1.00000000,0.00100000,9.84980932e-08,0.99474272,0.00000000
1.10811124e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.03784839e-07,0.99474272,0.00000000
1.08861858e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.09456800e-07,0.99474272,0.00000000
1.06912591e+03,1.00000000,999999.99997124,1.00000000,0.00100000,1.15549711e-07,0.99474272,0.00000000
1.04963325e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
1.03014058e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
1.01064792e+03,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
9.91155253e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
9.71662588e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
9.52169923e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
9.32677259e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
9.13184594e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
8.93691929e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
8.74199264e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
8.54706599e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
8.35213934e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
8.15721269e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
7.96228604e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
7.76735939e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
7.57243274e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
7.37750609e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
7.18257944e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
6.98765279e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
6.79272614e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
6.59779949e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
6.40287284e+02,1.00000000,999999.99997124,1.00000000,0.00100000,0.00000000e+00,0.00000000,0.00000000
6.20794619e+02,1.00000000,999999.99997124,1.00000000,0.00100000,5.89420683e-07,0.99474272,0.00000000
6.01301954e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.29710772e-06,0.33158091,0.00000000
5.81809289e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.43173815e-06,0.33158091,0.00000000
5.62316624e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.58566372e-06,0.33158091,0.00000000
5.42823959e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.76246878e-06,0.33158091,0.00000000
5.23331294e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.96656730e-06,0.33158091,0.00000000
5.03838629e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.20343588e-06,0.33158091,0.00000000
4.84345964e+02,1.00000000,999999.99997124,1.00000000,0.00100000,3.71988674e-06,0.19894854,0.00000000
4.64853299e+02,1.00000000,999999.99997124,1.00000000,0.00100000,4.20701370e-06,0.19894854,0.00000000
4.45360634e+02,1.00000000,999999.99997124,1.00000000,0.00100000,1.59434859e-06,0.99474272,0.00000000
4.25867969e+02,1.00000000,999999.99997124,1.00000000,0.00100000,3.64615138e-06,0.33158091,0.00000000
4.06375304e+02,1.00000000,999999.99997124,1.00000000,0.00100000,4.19546427e-06,0.33158091,0.00000000
3.86882639e+02,1.00000000,999999.99997124,1.00000000,0.00100000,4.86090030e-06,0.33158091,0.00000000
3.67389974e+02,1.00000000,999999.99997124,1.00000000,0.00100000,2.83742005e-06,0.99474272,0.00000000
3.47897310e+02,1.00000000,999999.99997124,1.00000000,0.00100000,3.34056638e-06,0.99474272,0.00000000
3.28404645e+02,1.00000000,999999.99997124,0.99999999,0.00100000,1.19101930e-05,0.19894854,0.00000001
3.08911980e+02,1.00000000,999999.99997124,1.00000000,0.00100000,9.53640341e-06,0.33158091,0.00000001
2.89419315e+02,1.00000000,999999.99997124,0.99999999,0.00100000,1.15909059e-05,0.33158091,0.00000001
2.69926650e+02,1.00000000,999999.99997124,0.99999999,0.00100000,2.14208977e-05,0.19894854,0.00000002
2.50433985e+02,1.00000000,999999.99997124,0.99999998,0.00100000,4.46780383e-05,0.11052697,0.00000004
2.30941320e+02,1.00000000,999999.99997124,0.99999998,0.00100000,3.41608188e-05,0.19894854,0.00000003
2.11448655e+02,1.00000000,999999.99997124,0.99999997,0.00100000,5.92941001e-05,0.14210610,0.00000006
1.91955990e+02,1.00000000,999999.99997124,0.99999994,0.00100000,1.18767265e-04,0.09043116,0.00000012
1.72463325e+02,1.00000000,999999.99997124,0.99999993,0.00100000,1.36307794e-04,0.11052697,0.00000014
1.52970660e+02,1.00000000,999999.99997124,0.99999992,0.00100000,1.56040516e-04,0.14210610,0.00000016
1.33477995e+02,1.00000000,999999.99997124,0.99999988,0.00100000,2.34426886e-04,0.14210610,0.00000023
1.13985330e+02,1.00000001,999999.99997124,0.99999981,0.00100000,3.75476477e-04,0.14210610,0.00000038
9.44926650e+01,1.00000001,999999.99997124,0.99999926,0.00100000,1.47759689e-03,0.05851428,0.00000148
7.50000000e+01,1.00000002,999999.99997124,0.99999918,0.00100000,1.63276547e-03,0.11052697,0.00000163
